factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x79d6e5919b9cea29817095b744e41df8532be714,0x85d86061e94ce01d3da0f9efa289c86ff136125a,0x779ded0c9e1022225f8e0630b35a9b54be713736,100,92044097
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7c8180c45d5c6dbcc62c7d8aa24e8f54c85d5f66,0x6d4cfacb0ca7561762a562a148b601052798973a,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,86390352
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7c995553be7c52eba887a639ea78e41671c9d34a,0xc96de26018a54d51c097160568752c4e3bd6c364,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,81090654
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7ccd8a769d466340fff36c6e10ffa8cf9077d988,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,1,61786274
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7d70b8a5d675002a212feced447b87ac978f3ac0,0x1bdd8878252daddd3af2ba30628813271294edc0,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,69386860
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7e78b65d0525339df5f4aa22b82d9e97584da8fc,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,1,72555602
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7e805113bc19398fb54912ab5c18429e7f8f265f,0xd2b4c9b0d70e3da1fbdd98f469bd02e77e12fc79,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,72260469
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x7f7b53dc4d55060f748af467c7ce0b5ae7b0d953,0x18d3e4f9951fedcddd806538857ebed2f5f423b7,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,74340352
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x804c0a1a8b0f57b91e0e612cfe17babf4dc70d6c,0x313b079d8e65d71b649c4f0089ae0df02b299af3,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,86886078
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x8089b33749198f6ad9d52ba43b3d5151fa6af39f,0x4b7f28397b4294277e7825f224172944f4f5a877,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,66031187
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x80e894772df557a26625125a3757585c07fd1ae2,0x4515a45337f461a11ff0fe8abf3c606ae5dc00c9,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,25,68106075
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x813dc86f31e83c0372ae523e851076df767472e1,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,63891061
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x81ce5b3acf2ddfd28013a28edd90fa4b1f61430d,0xc96de26018a54d51c097160568752c4e3bd6c364,0x779ded0c9e1022225f8e0630b35a9b54be713736,25,96731699
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x83e79e691b253ce40ae28451f0622a0e919cf3e5,0xcabae6f6ea1ecab08ad02fe02ce9a44f09aebfa2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,81090535
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x84a0f6f79d2260102505c50946ea07e8dae5aab4,0xf793ac038e7688aa3220005852836108cddb065c,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,70869528
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x86aa95df876b67373eba42763a9c601d9818cffc,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,100,71081256
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x8751cc7fcbf2d0b366e2fd16caa2d67aff435cb2,0xd2b4c9b0d70e3da1fbdd98f469bd02e77e12fc79,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,25,70650748
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x88eedd1683d0978dfe7efeb0b0a89a9f87c3cf57,0x482deb2f7b9608a80ea91e71f06380e9891501c6,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,74837943
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x8be71ffaf4dbcda2c7f9bd1e733fa86ca06bce44,0x26a6b0dcdcfb981362afa56d581e4a7dba3be140,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,100,65853017
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x8f667c4dd15a19a759d9e1607069acfef43f5f74,0xf793ac038e7688aa3220005852836108cddb065c,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,70869687
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x8f98c9ff5754f84941fd5f8b77dc7bff1cfa90a0,0x375450706cb79ab749ebb90001bda10341dd82bc,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,87628610
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x90a14f2119d87e46bf60190cfb2c0b05eea0fb5a,0x3cdeca40b65c2983d9756b7835b369730be15cd6,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,25,86390467
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x91a555096a027f7dba645fdb73a18197a09e1e7c,0x8b1f5ec3fa18ca8366de7cee9205b2d8e7b8450d,0xcda86a272531e8640cd7f1a92c01839911b90bb0,100,66854736
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x91c5aee46eba5f6b38b962ee248b9cef04b05244,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,10,71044526
